date,value
2014-01-20,13.69
2014-01-21,13.56
2014-01-22,13.05
2014-01-23,12.61
2014-01-24,12.12
2014-01-27,12.37
2014-01-28,12.26
2014-01-30,12.33
2014-01-31,11.92
2014-02-03,11.27
2014-02-04,12.49
2014-02-05,11.21
2014-02-06,11.4
2014-02-07,11.02
2014-02-10,11.27
2014-02-11,11.07
2014-02-12,10.84
2014-02-13,11.1
2014-02-14,11.52
2014-02-17,10.61
2014-02-18,11.25
2014-02-19,11.26
2014-02-20,10.81
2014-02-21,11.06
2014-02-24,10.59
2014-02-25,10.32
2014-02-26,10.98
2014-02-27,12.15
2014-02-28,11.37
2014-03-03,11.78
2014-03-04,11.94
2014-03-05,11.78
2014-03-06,11.39
2014-03-07,11.41
2014-03-10,11.72
2014-03-11,11.74
2014-03-12,11.7
2014-03-13,11.6
2014-03-14,11.76
2014-03-18,11.8
2014-03-19,11.82
2014-03-20,11.69
2014-03-21,11.83
2014-03-24,12.12
2014-03-25,11.77
2014-03-26,12.07
2014-03-27,12.08
2014-03-28,12.28
2014-03-31,11.78
2014-04-01,12.59
2014-04-02,12.2
2014-04-03,12.56
2014-04-04,12.7
2014-04-07,12.79
2014-04-09,12.78
2014-04-11,12.65
2014-04-15,13.17
2014-04-16,13.38
2014-04-17,13.62
2014-04-21,14.2
2014-04-22,14.69
2014-04-23,15.29
2014-04-24,14.47
2014-04-25,14.76
2014-04-28,15.12
2014-04-29,15.18
2014-04-30,15.35
2014-05-01,13.3
2014-05-02,15.38
2014-05-05,15.33
2014-05-06,16.0
2014-05-07,15.41
2014-05-08,15.36
2014-05-09,15.91
2014-05-12,15.89
2014-05-13,16.0
2014-05-15,15.81
2014-05-16,15.96
2014-05-19,16.02
2014-05-20,16.0
2014-05-21,16.42
2014-05-22,15.98
2014-05-23,16.38
2014-05-26,16.19
2014-05-27,16.18
2014-05-28,16.4
2014-05-29,16.18
2014-05-30,16.25
2014-06-02,16.4
2014-06-03,16.52
2014-06-04,16.58
2014-06-05,16.37
2014-06-06,16.72
2014-06-09,16.76
2014-06-10,16.22
2014-06-11,16.69
2014-06-12,16.78
2014-06-13,17.13
2014-06-16,16.87
2014-06-17,17.01
2014-06-18,17.17
2014-06-19,17.33
2014-06-20,17.45
2014-06-23,17.8
2014-06-24,17.84
2014-06-25,17.79
2014-06-26,17.82
2014-06-27,17.96
2014-06-30,18.26
2014-07-01,18.21
2014-07-02,18.45
2014-07-03,18.59
2014-07-04,18.68
2014-07-07,18.63
2014-07-08,18.85
2014-07-09,18.72
2014-07-10,19.02
2014-07-11,19.01
2014-07-14,18.91
2014-07-15,19.15
2014-07-16,19.29
2014-07-17,19.33
2014-07-18,19.78
2014-07-21,19.75
2014-07-22,19.49
2014-07-23,19.8
2014-07-24,20.16
2014-07-25,20.1
2014-07-28,19.55
2014-07-30,19.85
2014-07-31,20.6
2014-08-01,20.46
2014-08-04,20.49
2014-08-05,20.44
2014-08-06,20.79
2014-08-07,20.89
2014-08-08,21.59
2014-08-11,21.56
2014-08-12,21.37
2014-08-13,21.81
2014-08-14,21.49
2014-08-19,22.04
2014-08-20,22.43
2014-08-21,22.82
2014-08-22,22.88
2014-08-25,23.2
2014-08-26,23.34
2014-08-27,22.99
2014-08-28,23.54
2014-08-29,23.33
2014-09-01,23.6
2014-09-02,23.2
2014-09-03,23.66
2014-09-04,23.59
2014-09-05,23.14
2014-09-08,23.05
2014-09-09,23.32
2014-09-10,22.96
2014-09-11,23.12
2014-09-12,23.1
2014-09-15,23.08
2014-09-16,23.12
2014-09-17,23.01
2014-09-18,23.41
2014-09-19,23.16
2014-09-22,22.62
2014-09-23,23.45
2014-09-24,22.6
2014-09-25,23.76
2014-09-26,23.46
2014-09-29,22.86
2014-09-30,23.03
2014-10-07,23.82
2014-10-08,25.7
2014-10-09,24.13
2014-10-10,23.94
2014-10-13,23.49
2014-10-14,23.53
2014-10-15,23.65
2014-10-16,23.18
2014-10-17,23.3
2014-10-20,23.71
2014-10-21,23.61
2014-10-22,21.95
2014-10-24,26.04
2014-10-27,23.88
2014-10-28,24.4
2014-10-29,24.62
2014-10-31,24.49
2014-11-03,23.47
2014-11-05,24.31
2014-11-07,25.0
2014-11-10,24.92
2014-11-11,24.83
2014-11-12,25.23
2014-11-13,25.19
2014-11-14,25.33
2014-11-17,24.87
2014-11-18,24.63
2014-11-19,24.6
2014-11-20,24.43
2014-11-21,24.16
2014-11-24,24.61
2014-11-25,24.07
2014-11-26,24.18
2014-11-27,24.27
2014-11-28,23.29
2014-12-01,21.72
2014-12-02,22.0
2014-12-03,22.26
2014-12-04,22.04
2014-12-05,22.18
2014-12-08,21.39
2014-12-09,21.27
2014-12-10,20.53
2014-12-11,20.61
2014-12-12,20.04
2014-12-15,19.27
2014-12-16,19.15
2014-12-17,18.56
2014-12-18,18.42
2014-12-19,18.24
2014-12-22,17.38
2014-12-23,17.72
2014-12-24,17.26
2014-12-26,16.7
2014-12-29,15.95
2014-12-30,16.01
2014-12-31,15.49
2015-01-01,14.33
2015-01-02,14.32
2015-01-05,16.07
2015-01-06,15.44
2015-01-07,14.91
2015-01-08,14.75
2015-01-09,14.44
2015-01-12,13.97
2015-01-13,14.24
2015-01-14,13.81
2015-01-15,11.73
2015-01-16,12.77
2015-01-19,14.07
2015-01-20,14.65
2015-01-21,14.14
2015-01-22,14.05
2015-01-23,15.03
2015-01-27,14.44
2015-01-28,14.28
2015-01-30,14.4
2015-02-02,14.18
2015-02-03,14.72
2015-02-04,13.61
2015-02-05,13.14
2015-02-06,13.38
2015-02-09,12.91
2015-02-10,13.43
2015-02-11,13.07
2015-02-12,12.97
2015-02-13,13.07
2015-02-16,12.86
2015-02-17,16.78
2015-02-18,13.12
2015-02-19,12.75
2015-02-20,12.51
2015-02-23,12.67
2015-02-24,12.6
2015-02-25,12.81
2015-02-26,12.59
2015-02-27,12.43
2015-03-02,12.15
2015-03-03,12.24
2015-03-04,12.41
2015-03-05,12.73
2015-03-09,12.12
2015-03-10,12.12
2015-03-11,12.01
2015-03-12,11.93
2015-03-13,12.15
2015-03-16,12.0
2015-03-17,11.78
2015-03-18,11.56
2015-03-19,12.06
2015-03-20,11.94
2015-03-23,11.91
2015-03-24,11.78
2015-03-25,11.31
2015-03-26,11.38
2015-03-27,11.99
2015-03-30,11.79
2015-03-31,11.65
2015-04-01,11.79
2015-04-06,11.22
2015-04-07,11.31
2015-04-08,11.2
2015-04-09,11.1
2015-04-10,10.78
2015-04-13,10.67
2015-04-15,10.92
2015-04-16,10.92
2015-04-17,10.93
2015-04-20,11.48
2015-04-21,10.7
2015-04-22,10.78
2015-04-23,10.84
2015-04-24,10.24
2015-04-27,10.64
2015-04-28,10.4
2015-04-29,10.6
2015-04-30,10.08
2015-05-01,9.65
2015-05-05,10.21
2015-05-06,10.09
2015-05-07,10.33
2015-05-08,10.46
2015-05-11,10.76
2015-05-12,10.44
2015-05-13,10.2
2015-05-14,10.43
2015-05-15,10.48
2015-05-18,10.85
2015-05-19,10.5
2015-05-20,10.71
2015-05-21,10.29
2015-05-22,10.45
2015-05-25,10.67
2015-05-26,10.59
2015-05-27,10.87
2015-05-28,10.48
2015-05-29,9.92
2015-06-01,10.63
2015-06-02,11.78
2015-06-03,11.33
2015-06-04,10.79
2015-06-05,11.21
2015-06-08,11.69
2015-06-09,11.47
2015-06-10,11.63
2015-06-11,11.37
2015-06-12,11.43
2015-06-15,11.93
2015-06-16,11.57
2015-06-17,11.39
2015-06-18,11.43
2015-06-19,11.73
2015-06-22,11.86
2015-06-23,11.94
2015-06-24,11.95
2015-06-25,11.84
2015-06-26,12.18
2015-06-29,11.98
2015-06-30,12.06
2015-07-01,12.19
2015-07-02,12.01
2015-07-03,12.12
2015-07-06,12.1
2015-07-07,11.99
2015-07-08,11.98
2015-07-09,12.03
2015-07-10,12.08
2015-07-13,12.37
2015-07-14,12.07
2015-07-15,12.21
2015-07-16,12.03
2015-07-17,12.21
2015-07-20,12.19
2015-07-21,12.19
2015-07-22,11.92
2015-07-23,11.84
2015-07-24,12.05
2015-07-27,11.93
2015-07-28,11.72
2015-07-29,12.28
2015-07-30,11.99
2015-07-31,12.39
2015-08-03,12.31
2015-08-04,12.19
2015-08-05,12.11
2015-08-06,12.24
2015-08-07,12.2
2015-08-10,11.74
2015-08-11,12.3
2015-08-12,12.05
2015-08-13,12.11
2015-08-14,11.14
2015-08-17,11.94
2015-08-18,11.41
2015-08-19,11.58
2015-08-20,12.02
2015-08-21,11.73
2015-08-24,11.93
2015-08-25,11.89
2015-08-26,11.86
2015-08-27,11.95
2015-08-28,11.66
2015-08-31,11.86
2015-09-01,11.93
2015-09-02,11.91
2015-09-03,11.94
2015-09-04,11.76
2015-09-07,11.86
2015-09-08,11.99
2015-09-09,12.02
2015-09-10,11.94
2015-09-11,11.74
2015-09-14,12.22
2015-09-15,12.0
2015-09-16,12.04
2015-09-17,11.28
2015-09-18,12.43
2015-09-21,11.96
2015-09-22,11.92
2015-09-23,11.96
2015-09-24,11.85
2015-09-28,12.2
2015-09-29,11.83
2015-09-30,11.67
2015-10-01,11.87
2015-10-05,12.38
2015-10-06,12.08
2015-10-07,12.27
2015-10-08,12.71
2015-10-09,12.86
2015-10-12,12.94
2015-10-13,13.84
2015-10-14,13.22
2015-10-15,12.99
2015-10-16,13.09
2015-10-19,12.81
2015-10-20,13.22
2015-10-21,14.73
2015-10-23,12.25
2015-10-26,12.54
2015-10-27,14.27
2015-10-28,13.26
2015-10-29,13.38
2015-10-30,12.89
2015-10-31,14.1
2015-11-01,12.85
2015-11-02,12.28
2015-11-03,13.27
2015-11-04,13.49
2015-11-05,13.48
2015-11-06,13.24
2015-11-07,13.93
2015-11-08,13.65
2015-11-09,12.96
2015-11-10,11.67
2015-11-11,14.89
2015-11-12,14.85
2015-11-13,14.91
2015-11-14,13.5
2015-11-15,13.48
2015-11-16,13.59
2015-11-17,14.22
2015-11-18,14.23
2015-11-19,13.74
2015-11-20,14.04
2015-11-21,15.12
2015-11-22,13.6
2015-11-23,13.91
2015-11-24,14.21
2015-11-25,16.06
2015-11-26,13.89
2015-11-27,13.94
2015-11-28,14.86
2015-11-29,13.57
2015-11-30,13.56
2015-12-01,13.99
2015-12-02,14.32
2015-12-03,14.44
2015-12-04,13.87
2015-12-05,15.0
2015-12-06,14.25
2015-12-07,13.93
2015-12-08,13.3
2015-12-09,13.16
2015-12-10,13.45
2015-12-11,13.6
2015-12-12,13.31
2015-12-13,13.54
2015-12-14,13.11
2015-12-15,12.91
2015-12-16,13.9
2015-12-17,12.9
